id,facility,cat_id,app_type,exam_day,start_time,site_id,deleted_at
Group 55,Group 55,Group 55,Group 55,Group 55,Group 55,Group 55,Group 55
188,1,2,1,tue,11:00 AM,8,1/8/19 18:10
296,1,2,1,tue,11:00 AM,8,2/1/19 20:27
354,1,2,1,tue,11:00 AM,8,9/17/19 23:09
459,1,2,1,tue,11:00 AM,8,8/13/20 21:14
877,1,2,1,tue,11:00 AM,8,Not Deleted
Group 56,Group 56,Group 56,Group 56,Group 56,Group 56,Group 56,Group 56
457,1,2,1,wed,1:00 PM,7,7/29/19 22:04
597,1,2,1,wed,1:00 PM,7,Not Deleted
Group 57,Group 57,Group 57,Group 57,Group 57,Group 57,Group 57,Group 57
304,1,2,1,wed,2:00 PM,6,3/21/23 14:02
362,1,2,1,wed,2:00 PM,6,9/2/19 15:53
Group 58,Group 58,Group 58,Group 58,Group 58,Group 58,Group 58,Group 58
201,1,2,1,wed,2:00 PM,8,2/4/19 18:17
366,1,2,1,wed,2:00 PM,8,10/30/19 18:01
Group 59,Group 59,Group 59,Group 59,Group 59,Group 59,Group 59,Group 59
342,1,2,1,wed,2:00 PM,9,5/27/19 12:44
443,1,2,1,wed,2:00 PM,9,10/30/19 17:58
1104,1,2,1,wed,02:00P.M,9,Not Deleted
Group 60,Group 60,Group 60,Group 60,Group 60,Group 60,Group 60,Group 60
207,1,2,1,wed,8:30 AM,6,2/1/19 20:27
357,1,2,1,wed,8:30 AM,6,4/4/19 20:53
774,1,2,1,wed,8:30 AM,6,Not Deleted
Group 61,Group 61,Group 61,Group 61,Group 61,Group 61,Group 61,Group 61
592,1,2,1,wed,8:30 AM,8,4/9/25 18:00
603,1,2,1,wed,8:30 AM,8,Not Deleted
Group 62,Group 62,Group 62,Group 62,Group 62,Group 62,Group 62,Group 62
255,1,2,1,wed,10:00 AM,35,6/18/19 20:31
602,1,2,1,wed,10:00 AM,35,3/21/23 13:59
881,1,2,1,wed,10:00 AM,35,Not Deleted
Group 63,Group 63,Group 63,Group 63,Group 63,Group 63,Group 63,Group 63
78,1,2,1,wed,11:00 AM,6,12/10/18 19:36
185,1,2,1,wed,11:00 AM,6,12/10/18 19:36
194,1,2,1,wed,11:00 AM,6,1/17/19 16:57
227,1,2,1,wed,11:00 AM,6,2/27/19 22:02
228,1,2,1,wed,11:00 AM,6,1/17/19 21:14
373,1,2,1,wed,11:00 AM,6,2/21/23 17:45
460,1,2,1,wed,11:00 AM,6,Not Deleted
Group 64,Group 64,Group 64,Group 64,Group 64,Group 64,Group 64,Group 64
257,1,2,1,wed,11:00 AM,8,1/18/19 16:33
352,1,2,1,wed,11:00 AM,8,Not Deleted
451,1,2,1,wed,11:00 AM,8,7/30/20 14:50
Group 65,Group 65,Group 65,Group 65,Group 65,Group 65,Group 65,Group 65
242,1,2,1,wed,11:00 AM,9,5/16/19 16:49
266,1,2,1,wed,11:00 AM,9,8/14/19 20:34
343,1,2,1,wed,11:00 AM,9,5/6/19 18:51
615,1,2,1,wed,11:00 AM,9,4/13/23 16:23
Group 66,Group 66,Group 66,Group 66,Group 66,Group 66,Group 66,Group 66
1094,1,2,1,wed,11:30A.M,9,4/9/25 18:00
1099,1,2,1,wed,11:30A.M,9,Not Deleted
Group 67,Group 67,Group 67,Group 67,Group 67,Group 67,Group 67,Group 67
414,1,3,1,wed,11:00 AM,8,5/27/19 13:41
593,1,3,1,wed,11:00 AM,8,Not Deleted
Group 68,Group 68,Group 68,Group 68,Group 68,Group 68,Group 68,Group 68
573,1,5,1,tue,2:00 PM,9,7/23/19 19:53
577,1,5,1,tue,2:00 PM,9,Not Deleted
Group 69,Group 69,Group 69,Group 69,Group 69,Group 69,Group 69,Group 69
212,1,5,1,tue,8:30 AM,6,12/19/18 16:29
372,1,5,1,tue,8:30 AM,6,6/27/19 14:29
Group 70,Group 70,Group 70,Group 70,Group 70,Group 70,Group 70,Group 70
888,1,5,1,tue,9:00 AM,6,Not Deleted
982,1,5,1,tue,09:00A.M,6,Not Deleted
